Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),temp (°C)
484,1629405905328,32.75
485,1629405905529,33.0
486,1629405905730,32.5
487,1629405905931,32.75
488,1629405906133,33.25
489,1629405906332,33.0
490,1629405906533,33.25
491,1629405906734,33.75
492,1629405906936,33.75
493,1629405907135,33.5
494,1629405907335,33.5
495,1629405907537,33.5
496,1629405907738,34.0
497,1629405907938,34.25
498,1629405908138,33.75
499,1629405908339,34.5
500,1629405908540,34.0
501,1629405908740,34.5
502,1629405908941,34.75
503,1629405909141,34.75
504,1629405909345,35.0
505,1629405909543,35.25
506,1629405909744,35.25
507,1629405909946,35.5
508,1629405910148,35.75
509,1629405910347,35.25
510,1629405910547,36.0
511,1629405910749,36.25
512,1629405910949,36.25
513,1629405911150,36.25
514,1629405911351,36.75
515,1629405911552,36.25
516,1629405911752,36.5
517,1629405911953,36.75
518,1629405912153,37.0
519,1629405912354,37.25
520,1629405912556,37.5
521,1629405912756,37.75
522,1629405912955,38.0
523,1629405913157,38.5
524,1629405913357,38.25
525,1629405913558,38.25
526,1629405913759,38.5
527,1629405913960,38.75
528,1629405914161,39.0
529,1629405914362,38.75
530,1629405914562,39.5
531,1629405914762,39.75
532,1629405914964,40.0
533,1629405915165,39.75
534,1629405915365,40.5
535,1629405915567,40.75
536,1629405915766,40.75
537,1629405915968,40.5
538,1629405916167,41.5
539,1629405916367,41.5
540,1629405916570,41.5
541,1629405916769,42.0
542,1629405916970,42.0
543,1629405917171,42.0
544,1629405917371,41.75
545,1629405917572,43.0
546,1629405917774,43.0
547,1629405917978,43.5
548,1629405918179,43.25
549,1629405918380,43.75
550,1629405918581,44.0
551,1629405918781,44.25
552,1629405918982,44.25
553,1629405919183,45.0
554,1629405919384,45.25
555,1629405919583,45.0
556,1629405919784,45.75
557,1629405919986,46.25
558,1629405920186,46.0
559,1629405920386,46.25
560,1629405920587,46.75
561,1629405920788,46.25
562,1629405920989,47.0
563,1629405921190,46.75
564,1629405921390,47.75
565,1629405921591,47.75
566,1629405921792,48.0
567,1629405921993,48.25
568,1629405922193,48.75
569,1629405922394,49.0
570,1629405922595,49.25
571,1629405922795,49.25
572,1629405922997,49.25
573,1629405923196,50.0
574,1629405923396,50.0
575,1629405923598,50.0
576,1629405923799,50.75
577,1629405923999,50.75
578,1629405924201,51.5
579,1629405924402,51.5
580,1629405924601,52.0
581,1629405924802,52.25
582,1629405925005,51.5
583,1629405925204,52.75
584,1629405925404,53.25
585,1629405925605,53.25
586,1629405925807,53.75
587,1629405926007,54.0
588,1629405926208,53.75
